WeekStartDate,Percent_departed,Percent_remaining
2024-09-15,5.4 (2 - 11.5),94.6 (98 - 88.5)
2024-09-29,12.4 (6.1 - 21.9),87.6 (93.9 - 78.1)
2024-10-13,26.7 (16.6 - 39.1),73.3 (83.4 - 60.9)
2024-11-17,89.3 (79.8 - 95.3),10.7 (20.2 - 4.7)
