foreign.med,foreign.lcl,foreign.ucl,Age,prior
0.889925,0.42785375,0.92302625,Juvenile,uninformative prior
0.97445,0.76951,0.98122,Adult,uninformative prior
0.190617550851417,0.0322829827814385,0.504431493743975,Juvenile,only migration
0.183734069921251,0.0270348484523466,0.564488662068672,Adult,only migration
0.90611558629786,0.500479750150361,0.998302988788343,Juvenile,combined abundance and migration
0.888559673810707,0.450758259679606,0.998049709446218,Adult,combined abundance and migration
