mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.391502870338747,0.049184580465641,0.295324606857256,0.391627373670395,0.48662806085623,1.03,467,b.rain
-18.7697107713893,1.04139294954751,-20.8053669744662,-18.7758066672429,-16.7094666637673,1,10595,b.age
-10.2574794814308,3.6025789651433,-17.2623460183362,-10.2471887589122,-3.23240410443385,1.03,453,int.rain
15.387310709665,0.422663213767268,14.5767759737834,15.3785273384835,16.2408262604701,1,25842,sigma.calib
24.9967281425313,1.0054031568109,23.0102323541605,24.9985988794551,26.9542754996523,1,21416,dispersion
