RegionShot,OriginRegion,N
Jura,4,1
Jura,5,5
Jura,6,6
Jura,7,2
Jura,8,5
Jura,9,6
Jura,10,8
Jura,11,3
Jura,12,4
Jura,13,2
Jura,14,2
Plateau,4,0
Plateau,5,2
Plateau,6,3
Plateau,7,2
Plateau,8,4
Plateau,9,1
Plateau,10,3
Plateau,11,0
Plateau,12,0
Plateau,13,1
Plateau,14,1
Alps,4,2
Alps,5,3
Alps,6,4
Alps,7,11
Alps,8,7
Alps,9,16
Alps,10,34
Alps,11,16
Alps,12,19
Alps,13,12
Alps,14,2
