mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.888524677191926,0.0605930142026505,0.745590552251868,0.898553946000754,0.976138456985186,1,41029,p.nonlocal[1]
0.921185352758715,0.0521119078112003,0.792665883465667,0.932086171199919,0.98983372436135,1,40000,p.nonlocal[2]
0.966321928604241,0.034554320043816,0.872890844070618,0.977226555404091,0.999430178996249,1,40793,p.nonlocal[3]
0.974307884069426,0.0306945395519633,0.888420736861982,0.985278183833231,0.999851667296276,1,37962,p.nonlocal[4]
0.970853572886181,0.0323587476983894,0.882747224034707,0.981660929614578,0.999725050109308,1,40376,p.nonlocal[5]
0.958397548824595,0.0383710219442756,0.857381250761302,0.969440420963507,0.998667330997645,1,39983,p.nonlocal[6]
0.888014831361751,0.0610105946907296,0.744186895258045,0.898644672550664,0.97632229988987,1,39699,p.nonlocal[7]
0.937146220781867,0.0471268405593131,0.816984922754682,0.94831883423142,0.994463462113143,1,40000,p.nonlocal[8]
0.849112439898492,0.0686538115235523,0.690571394399222,0.858223144208065,0.955684863259804,1,39727,p.nonlocal[9]
0.700872766348592,0.0877854952532447,0.516082480343386,0.706171721234852,0.856678402641899,1,40060,p.nonlocal[10]
0.830113110519811,0.0727219013894879,0.665865749158473,0.83884899531345,0.945861426379412,1,39644,p.nonlocal[11]
0.753886485133004,0.0828737305445384,0.575094158967606,0.760209963584744,0.895988206643903,1,40240,p.nonlocal[12]
0.888373695207055,0.0607169375076681,0.745485801528138,0.898336223308067,0.976339257020363,1,39005,p.nonlocal[13]
0.97157522430823,0.0317116282822852,0.88504680465652,0.98229856002431,0.999756125345551,1,40000,p.nonlocal[14]
0.958690434839425,0.038186810328944,0.857005094561567,0.969731504376003,0.998668640098711,1,40347,p.nonlocal[15]
0.974700417043256,0.029890541464704,0.890802524827963,0.985271376032615,0.999881547155373,1,40737,p.nonlocal[16]
0.826779111905559,0.0731664533549962,0.659939049310706,0.835719715397702,0.943418872733883,1,40425,p.nonlocal[17]
0.908581808442237,0.0553655749007285,0.776169107150599,0.918963382582016,0.984982284868445,1,40133,p.nonlocal[18]
0.701535706343937,0.0880458624083668,0.516773485066924,0.706157342144307,0.857890654172313,1,40000,p.nonlocal[19]
0.92106787261359,0.0515723369622797,0.794242172104103,0.931263431509616,0.989454467045887,1,40000,p.nonlocal[20]
0.946724827163632,0.0433572725039076,0.834584813744126,0.95773642329573,0.996672448186759,1,39064,p.nonlocal[21]
0.9665587975557,0.0343269615846302,0.874346727074915,0.977330690369151,0.999439747287517,1,40355,p.nonlocal[22]
0.974545908975924,0.0303288192625566,0.890208926255784,0.985351759179181,0.99986287111593,1,40000,p.nonlocal[23]
0.957382035071127,0.0390983347288076,0.854534444643631,0.968813693852576,0.998432088042666,1,40000,p.nonlocal[24]
0.891186903602794,0.0600515585280383,0.748401430467355,0.901485567191954,0.977347752030768,1,40019,p.nonlocal[25]
0.869062308275955,0.06493022230388,0.717380586654955,0.878491212282451,0.967286922802641,1,40899,p.nonlocal[26]
