mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.76332660903129,0.111428511252913,0.550722617385607,0.761093866749342,0.99731403046096,1.02,190,b.rain
-15.5289304522168,1.62475504413586,-18.7045017298964,-15.532752636964,-12.3746220244647,1,6291,b.age
16.0082187091623,7.94985165784656,0.958104756331052,15.8780339073304,32.824859500317,1.02,184,int.rain
0.468214025418348,0.222707312311009,0.0842045397939498,0.459996926312926,0.89303307485813,1,23792,"p.nonlocal[1, 1]"
0.901891956637752,0.0676422355949743,0.732513216961122,0.916488634213725,0.987733637731995,1,17946,"p.nonlocal[2, 1]"
0.459988561492522,0.220557634028727,0.0803671515734565,0.450823619438973,0.885723831898235,1,31403,"p.nonlocal[1, 2]"
0.506643508072814,0.222378636126077,0.0961441918617203,0.508829714562795,0.907467633415627,1,36650,"p.nonlocal[2, 2]"
0.579460988430953,0.214600220926778,0.142935829504966,0.595827966450468,0.932109748913381,1,15170,"p.nonlocal[1, 3]"
0.857620715428579,0.0969802810104562,0.614692793777183,0.878620747902282,0.98222699013116,1,10626,"p.nonlocal[2, 3]"
0.889401046568466,0.0769114623640023,0.69567278936799,0.90656027686208,0.986151027365875,1,12566,"p.nonlocal[1, 4]"
0.972037220397345,0.0196012696569158,0.922573246818627,0.976497269298454,0.99656513832108,1,18957,"p.nonlocal[2, 4]"
0.591956716844437,0.211979487460793,0.151895671049995,0.61139883005736,0.934132411983747,1,21180,"p.nonlocal[1, 5]"
0.792950095897111,0.136210979827331,0.458386292598347,0.821463289468053,0.973775756248585,1,12952,"p.nonlocal[2, 5]"
0.499825193063159,0.224436850772367,0.0948532076217133,0.497873984326966,0.906752215494123,1,40000,"p.nonlocal[1, 6]"
0.56305071223413,0.218158286652268,0.131182438453042,0.576981597512348,0.926734902931845,1,34614,"p.nonlocal[2, 6]"
