mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.00102319584936763,0.000601343998444262,0.000246438323226542,0.000897796692947007,0.00253939716726198,1.02,731,mean.mig
0.374754182296378,0.0425731938648243,0.297388542205757,0.372133089585232,0.464475095593987,1.01,599,b.mig.week
0.982973027120805,0.0165279627703197,0.939651973081138,0.988087658444797,0.999505267666621,1,8024,mean.phi[1]
0.974572356632381,0.0254050640776241,0.906089690470441,0.982516068149257,0.999282821815746,1.01,7014,mean.phi[2]
0.961120749168517,0.0275191135504292,0.892967355013611,0.967543853464307,0.995200117856796,1,11558,mean.phi[3]
0.967527040130095,0.0183872796212539,0.922748141404991,0.970846565461646,0.992965189374443,1,14112,mean.phi[4]
0.994367152835233,0.00575251452012825,0.978212197515044,0.996176347422325,0.999844657310723,1,6868,mean.phi[5]
0.981771888311962,0.00523566246472509,0.969968813503787,0.982305288453541,0.990387571380238,1,14566,mean.phi[6]
0.974368896323306,0.00584133219826561,0.961758295550411,0.974829369832198,0.984522774980874,1,15406,mean.phi[7]
0.9596794883452,0.00743651462955688,0.943949443109222,0.960139190704043,0.973038261886411,1,13540,mean.phi[8]
0.980490141184247,0.0100024374312814,0.957070439733712,0.98207630560334,0.995120536282474,1,15112,mean.phi[9]
0.988219681525792,0.00836642084667467,0.967313953306637,0.9900575293313,0.998627742509145,1,11988,mean.phi[10]
0.974553020684556,0.0185988269150043,0.927773237392004,0.979002852761046,0.997011002298009,1,12084,mean.phi[11]
