mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.746384124715515,0.105957679484954,0.548103962015241,0.746075144598962,0.952265529369035,1.07,216,b.rain
-15.7578561741616,1.61500898111542,-18.8996607199857,-15.762565139783,-12.5847660915581,1,6999,b.age
14.9521906980618,7.58177165269593,0.741103027877766,14.89683818305,29.6438521197543,1.07,220,int.rain
25.0063534370858,1.00838094086046,23.052008280426,25.0068266733212,26.9837898238395,1,20769,dispersion
