mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[1]
0.19015041163109,0,0.19015041163109,0.19015041163109,0.19015041163109,,0,p.nonlocal[2]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[3]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[4]
0.19015041163109,0,0.19015041163109,0.19015041163109,0.19015041163109,,0,p.nonlocal[5]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[6]
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[7]
0.331668878613198,0,0.331668878613198,0.331668878613198,0.331668878613198,,0,p.nonlocal[8]
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[9]
0.09998244464557,0,0.09998244464557,0.09998244464557,0.09998244464557,,0,p.nonlocal[10]
0.331668878613198,0,0.331668878613198,0.331668878613198,0.331668878613198,,0,p.nonlocal[11]
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[12]
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[13]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[14]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[15]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[16]
0.139047181340613,0,0.139047181340613,0.139047181340613,0.139047181340613,,0,p.nonlocal[17]
0.331668878613198,0,0.331668878613198,0.331668878613198,0.331668878613198,,0,p.nonlocal[18]
0.09998244464557,0,0.09998244464557,0.09998244464557,0.09998244464557,,0,p.nonlocal[19]
0.19015041163109,0,0.19015041163109,0.19015041163109,0.19015041163109,,0,p.nonlocal[20]
0.19015041163109,0,0.19015041163109,0.19015041163109,0.19015041163109,,0,p.nonlocal[21]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[22]
0.254483762771259,0,0.254483762771259,0.254483762771259,0.254483762771259,,0,p.nonlocal[23]
