mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.00102849913917726,0.000658295504463755,0.000216622577774706,0.000882899476672039,0.00265528439744565,1.02,536,mean.mig
0.37802295230188,0.0447470136733739,0.297422368347347,0.375497908812864,0.474072930491834,1.02,525,b.mig.week
0.968482418710868,0.0249740322752948,0.90982247971829,0.974943546527731,0.999002686327667,1,12805,mean.phi[1]
0.953656093135972,0.0290764518596525,0.90298047179178,0.955345375835954,0.998180259629984,1,15213,mean.phi[2]
0.942700951346514,0.0255611513769644,0.902123655506798,0.941559009652102,0.990121496945584,1,16156,mean.phi[3]
0.953610467151633,0.0223145144994239,0.906879650761418,0.95628733039053,0.989392031907521,1,17681,mean.phi[4]
0.993287837199779,0.00700116934792338,0.974643040605303,0.995473282187545,0.999828091142021,1,5346,mean.phi[5]
0.98011387690694,0.0056640278037737,0.96740581802827,0.980734220562702,0.989440740744973,1,14186,mean.phi[6]
0.970565555723606,0.00644147725653264,0.956793124198919,0.971038982531208,0.9818334474785,1,16571,mean.phi[7]
0.954370613193752,0.00777517633556622,0.937895696625125,0.954807517097891,0.968173099553351,1,15909,mean.phi[8]
0.975974656034608,0.0120561331530354,0.947742664717598,0.977816805613592,0.993992252858627,1,15361,mean.phi[9]
0.9854535589592,0.010115947109458,0.960319817226849,0.987639670539835,0.998240355142373,1,12693,mean.phi[10]
0.959454770024365,0.0244371480049886,0.906912145223707,0.963723874283762,0.99492235968273,1,14382,mean.phi[11]
0.950242429797645,0.0289595142002434,0.902488028418738,0.950507783365902,0.997456277738092,1,25000,mean.phi[12]
0.949763806169035,0.0288528849994706,0.902483896395424,0.949493450671434,0.997373781065107,1,25000,mean.phi[13]
