mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.000797847635769578,0.000599961129291984,0.000116835955399952,0.000631427488534116,0.00248310550023345,1.08,102,mean.mig
0.432906116205952,0.0523451883221959,0.332760276689742,0.431192019688679,0.55177084525651,1.08,97,b.mig.week
0.96845614761589,0.0250480546820859,0.909506175855071,0.974756592540377,0.999147558149492,1,12916,mean.phi[1]
0.978519298841267,0.0196201791016329,0.926315318966903,0.984395360279535,0.999439545013845,1,9864,mean.phi[2]
0.967776351617963,0.0205212381270272,0.917428565811115,0.971868625911068,0.995827564204722,1,14737,mean.phi[3]
0.957597373550267,0.0213137811155047,0.910286656755267,0.960642205956196,0.990789019275226,1,17963,mean.phi[4]
0.996663017823686,0.00328459461094224,0.987763400765131,0.997681255199804,0.999911760244254,1,8506,mean.phi[5]
0.987605222090942,0.003424919622872,0.980081989978844,0.987909277017588,0.993398870028127,1,16519,mean.phi[6]
0.985634743850676,0.00339428976392484,0.978165849249961,0.985920516105792,0.991488681924233,1,16853,mean.phi[7]
0.985709207849489,0.00272812823529319,0.979920753698723,0.985875558519201,0.990605677080763,1,17398,mean.phi[8]
0.97005680596601,0.0167245047284452,0.929682427462534,0.973001307798282,0.993736600280633,1,15157,mean.phi[9]
0.984040873228786,0.0110261640850472,0.956308871079296,0.986585041130481,0.997999250476157,1,12556,mean.phi[10]
0.985207184918994,0.0104030786120952,0.958882155135147,0.987560094292467,0.998183039946364,1,12545,mean.phi[11]
0.949691624500525,0.0287723303572213,0.902418998516514,0.949588670779485,0.997344927631202,1,25781,mean.phi[12]
0.949705063966135,0.0288520714778537,0.902465776185272,0.949685318546835,0.997311777974828,1,24065,mean.phi[13]
