Date,Lab,RefID,Region,Age,GrowthYr,LocationCode,Latitude,Longitude,DHF,MAD
24/09/2008,SUERC,L07,RUSSIA,FY,2008,12,60.05,30.15,-97.08,-88
26/09/2008,SUERC,L08,RUSSIA,FY,2008,12,60.05,30.15,-93.21,-88
26/09/2008,SUERC,L09,RUSSIA,FY,2008,12,60.05,30.15,-100.82,-88
26/09/2008,SUERC,L10,RUSSIA,Adult,2008,12,60.05,30.15,-96.91,-88
29/09/2008,SUERC,L11,RUSSIA,Adult,2008,12,60.05,30.15,-89.39,-88
01/01/2006,IA,TK1,ST PETERSBUR,Adult,2005,12,60.01,30.03,-71.21,-88
17/09/2008,SUERC,K01,BELARUS,Adult,2008,13,54.82,28.62,-74.21,-76
22/09/2008,SUERC,K02,BELARUS,Adult,2008,13,54.82,28.62,-70.59,-76
22/09/2008,SUERC,K03,BELARUS,Adult,2008,13,54.82,28.62,-83.18,-76
22/09/2008,SUERC,K04,BELARUS,Adult,2008,13,54.82,28.62,-82.49,-76
29/09/2008,SUERC,K05,BELARUS,Adult,2008,13,54.82,28.62,-85.06,-76
26/09/2008,SUERC,K06,BELARUS,FY,2008,13,54.82,28.62,-92.5,-76
26/09/2008,SUERC,K07,BELARUS,Adult,2008,13,54.82,28.62,-76.36,-76
29/09/2008,SUERC,K08,BELARUS,FY,2008,13,54.82,28.62,-89.59,-76
29/09/2008,SUERC,K09,BELARUS,FY,2008,13,54.82,28.62,-87.64,-76
29/09/2009,SUERC,KO 36,BELARUS,FY,2009,13,54.82,28.62,-89.23,-76
25/09/2010,SUERC,KO 42,BELARUS,FY,2010,13,54.82,28.62,-74.3,-76
27/09/2010,SUERC,KO 43,BELARUS,FY,2010,13,54.82,28.62,-89.62,-76
27/09/2010,SUERC,KO 44,BELARUS,Adult,2010,13,54.82,28.62,-53.25,-76
28/09/2010,SUERC,KO 45,BELARUS,Adult,2010,13,54.82,28.62,-69.67,-76
26/09/2010,IA,KO 125,FINLAND,FY,2010,14,62.89,27.68,-93.13,-93
14/10/2010,IA,KO 126,FINLAND,FY,2010,14,62.73,28.42,-96.27,-93
24/10/2010,IA,KO 127,FINLAND,FY,2010,14,62.3,27.13,-94.59,-92
30/04/2009,IA,KO 141,RUSSIA,FY,2009,15,59,28,-96.46,-85
30/04/2009,IA,KO 142,RUSSIA,Adult,2009,15,59,28,-59.52,-85
17/05/2003,SUERC,KO 02,BELARUS,Adult,2002,16,55.07,26.88,-102.47,-76
17/05/2003,SUERC,KO 03,BELARUS,Adult,2002,16,55.07,26.88,-61.97,-76
26/05/2003,SUERC,KO 10,BELARUS,Adult,2002,16,55.78,27.4,-54.26,-78
26/05/2003,SUERC,KO 11,BELARUS,Adult,2002,16,55.78,27.4,-59.25,-78
26/05/2003,SUERC,KO 12,BELARUS,Adult,2002,16,55.78,27.4,-58.37,-78
26/05/2003,SUERC,KO 13,BELARUS,Adult,2002,16,55.78,27.4,-62.18,-78
26/05/2003,SUERC,KO 14,BELARUS,Adult,2002,16,55.78,27.4,-65.19,-78
01/06/2003,SUERC,KO 16,BELARUS,FY,2002,16,55.78,27.4,-96.9,-78
01/06/2003,SUERC,KO 17,BELARUS,FY,2002,16,55.78,27.4,-93.64,-78
14/06/2003,SUERC,KO 18,BELARUS,Adult,2002,16,55.04,26.58,-58.24,-76
21/06/2003,SUERC,KO 21,BELARUS,Adult,2002,16,55.6,27.17,-58.82,-77
21/06/2003,SUERC,KO 22,BELARUS,Adult,2002,16,55.6,27.17,-68.15,-77
22/06/2003,SUERC,KO 23,BELARUS,FY,2002,16,55.07,26.88,-94.19,-76
22/06/2003,SUERC,KO 24,BELARUS,Adult,2002,16,55.4,26.58,-46.43,-76
22/06/2003,SUERC,KO 25,BELARUS,Adult,2002,16,55.4,26.58,-47.97,-76
22/06/2003,SUERC,KO 26,BELARUS,Adult,2002,16,55.4,26.58,-91.84,-76
11/09/2009,SUERC,KO 47,ESTONIA,FY,2009,17,58.37,26.72,-92.37,-83
20/08/2010,IA,KO 128,LATVIA,FY,2010,18,57.33,25.62,-83.55,-81
20/05/2003,SUERC,KO 04,BELARUS,FY,2002,19,52.8,24.2,-90.38,-69
21/05/2003,SUERC,KO 05,BELARUS,Adult,2002,19,52.8,24.2,-43.13,-69
26/05/2003,SUERC,KO 09,BELARUS,Adult,2002,19,52.75,24.07,-55.82,-69
31/05/2003,SUERC,KO 15,BELARUS,Adult,2002,19,52.87,24.18,-47.85,-69
06/08/2010,SUERC,KO 104,SWEDEN,Adult,2009,20,57.93,19.15,-59.17,-78
23/08/2010,SUERC,KO 105,SWEDEN,FY,2010,21,60,18,-88.36,-83
24/04/2010,SUERC,KO 106,SWEDEN,Adult,2009,22,57.73,12.7,-43.53,-77
19/07/2010,SUERC,KO 48,NORWAY,FY,2010,23,59.73,9.87,-86.9,-78
29/09/2009,IA,KO 146,GERMANY,FY,2009,24,50.67,8.59,-78.76,-60
01/05/2008,SUERC,N1,NORFOLK,Adult,2007,26,52.7,1,-11.64,-58
12/09/2007,IA,MD1,HAMPSHIRE,Adult,2007,27,51.2,-1.4,-43.96,-55
