ID,KANTON,dH,LATITUDE,LONGITUDE,feather_growth_date,feather_sampling_date
KO 36,BELARUS,-65.24996,54.82,28.62,2009-08-15,2009-09-29
KO 42,BELARUS,-52.5296,54.82,28.62,2010-08-15,2010-09-25
KO 43,BELARUS,-65.58224,54.82,28.62,2010-08-15,2010-09-27
KO 44,BELARUS,-34.595,54.82,28.62,2010-06-15,2010-09-27
KO 45,BELARUS,-48.58484,54.82,28.62,2010-06-15,2010-09-28
KO 125,FINLAND,-68.57276,62.89,27.68,2010-08-15,2010-09-26
KO 126,FINLAND,-71.24804,62.73,28.42,2010-08-15,2010-10-14
KO 127,FINLAND,-69.81668,62.3,27.13,2010-08-15,2010-10-24
KO 141,RUSSIA,-71.40992,59,28,2008-05-15,2009-04-30
KO 142,RUSSIA,-39.93704,59,28,2008-06-15,2009-04-30
KO 02,BELARUS,-76.53044,55.07,26.88,2002-06-15,2003-05-17
KO 03,BELARUS,-42.02444,55.07,26.88,2002-06-15,2003-05-17
KO 10,BELARUS,-35.45552,55.78,27.4,2002-06-15,2003-05-26
KO 11,BELARUS,-39.707,55.78,27.4,2002-06-15,2003-05-26
KO 12,BELARUS,-38.95724,55.78,27.4,2002-06-15,2003-05-26
KO 13,BELARUS,-42.20336,55.78,27.4,2002-06-15,2003-05-26
KO 14,BELARUS,-44.76788,55.78,27.4,2002-06-15,2003-05-26
KO 16,BELARUS,-71.7848,55.78,27.4,2002-05-15,2003-06-01
KO 17,BELARUS,-69.00728,55.78,27.4,2002-05-15,2003-06-01
KO 18,BELARUS,-38.84648,55.04,26.58,2002-06-15,2003-06-14
KO 21,BELARUS,-39.34064,55.6,27.17,2002-06-15,2003-06-21
KO 22,BELARUS,-47.2898,55.6,27.17,2002-06-15,2003-06-21
KO 23,BELARUS,-69.47588,55.07,26.88,2002-05-15,2003-06-22
KO 24,BELARUS,-28.78436,55.4,26.58,2002-06-15,2003-06-22
KO 25,BELARUS,-30.09644,55.4,26.58,2002-06-15,2003-06-22
KO 26,BELARUS,-67.47368,55.4,26.58,2002-06-15,2003-06-22
KO 47,ESTONIA,-67.92524,58.37,26.72,2009-08-15,2009-09-11
KO 128,LATVIA,-60.4106,57.33,25.62,2009-05-15,2010-08-20
KO 04,BELARUS,-66.22976,52.8,24.2,2002-05-15,2003-05-20
KO 05,BELARUS,-25.97276,52.8,24.2,2002-06-15,2003-05-21
KO 09,BELARUS,-36.78464,52.75,24.07,2002-06-15,2003-05-26
